City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,19.52,82,0,4.63,ZA,1667760118
84,hithadhoo,-0.6,73.0833,27.18,77,42,4.2,MV,1667760119
85,maceio,-9.6658,-35.7353,25.69,94,100,5.66,BR,1667760119
86,ouro fino,-22.2831,-46.3692,21.56,54,20,1.1,BR,1667760120
87,laguna,38.421,-121.4238,15.73,63,100,6.17,US,1667760120
88,belaya gora,68.5333,146.4167,-15.99,93,100,6.05,RU,1667760121
89,castro,-24.7911,-50.0119,14.22,73,94,3.6,BR,1667760122
90,fayaoue,-20.65,166.5333,25.64,81,0,5.39,NC,1667760123
91,poum,-20.2333,164.0167,25.62,78,0,2.44,NC,1667760124
92,kokopo,-4.352,152.2633,24.63,86,100,2.07,PG,1667760125
93,ahipara,-35.1667,173.1667,15.04,80,93,5.59,NZ,1667760125
94,upernavik,72.7868,-56.1549,-8.1,91,100,2.86,GL,1667760126
95,marquette,46.5333,-87.6335,10.46,72,85,5.85,US,1667760127
96,verkhnevilyuysk,63.4453,120.3167,-30.42,100,39,0.98,RU,1667760127
97,puerto escondido,15.85,-97.0667,29.46,61,20,2.57,MX,1667760127
98,provideniya,64.3833,-173.3,1.98,99,100,4.37,RU,1667760128
99,penzance,50.1186,-5.5371,13.38,82,84,13.0,GB,1667760128
100,mount isa,-20.7333,139.5,22.87,68,40,5.14,AU,1667760129
101,wildwood,38.5828,-90.6629,21.35,46,0,2.68,US,1667760129
102,graaff-reinet,-32.2522,24.5308,22.73,61,13,2.22,ZA,1667760130
103,almaznyy,48.0448,40.045,0.54,77,11,2.56,RU,1667760130
104,talnakh,69.4865,88.3972,-5.44,96,100,3.58,RU,1667760131
105,dingle,10.9995,122.6711,24.28,94,83,2.7,PH,1667760132
106,sungaipenuh,-2.0833,101.3833,17.98,97,100,0.41,ID,1667760133
107,lebu,-37.6167,-73.65,14.07,69,3,5.91,CL,1667760134
108,salalah,17.0151,54.0924,27.05,78,20,0.51,OM,1667759997
109,yellowknife,62.456,-114.3525,-19.69,84,40,3.6,CA,1667760134
110,peleduy,59.6289,112.7406,-4.89,92,100,3.85,RU,1667760135
111,comodoro rivadavia,-45.8667,-67.5,26.92,21,0,8.75,AR,1667760135
112,arraial do cabo,-22.9661,-42.0278,24.98,64,20,5.66,BR,1667760136
113,tasiilaq,65.6145,-37.6368,-1.91,90,60,2.04,GL,1667760136
114,pathein,16.7833,94.7333,22.93,86,0,2.09,MM,1667760137
115,port alfred,-33.5906,26.891,20.1,82,28,2.68,ZA,1667760137
116,mabaruma,8.2,-59.7833,32.0,62,40,5.14,GY,1667760138
117,moranbah,-22.0016,148.0466,17.94,77,97,6.07,AU,1667760139
118,bethel,41.3712,-73.414,23.59,77,100,3.6,US,1667760031
119,puerto ayora,-0.7393,-90.3518,23.98,71,66,5.11,EC,1667760139
120,saint-philippe,-21.3585,55.7679,22.77,84,87,3.93,RE,1667760140
